  Loading openmpi/3.1.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.41
1                       0.45
2                       0.45
4                       0.67
8                       0.69
16                      0.80
32                      0.80
64                      0.83
128                     1.08
256                     1.31
512                     2.07
1024                    2.97
2048                    4.65
4096                    4.80
8192                    5.74
16384                   7.49
32768                  10.18
65536                  15.70
131072                 26.32
262144                 47.99
524288                 90.85
1048576               182.75
2097152               375.47
4194304              2593.99
  Loading openmpi/3.1.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.40
1                       0.45
2                       0.45
4                       0.59
8                       0.67
16                      0.79
32                      0.79
64                      0.79
128                     1.04
256                     1.24
512                     1.87
1024                    2.73
2048                    4.23
4096                    4.67
8192                    5.57
16384                   7.42
32768                  10.15
65536                  15.82
131072                 26.79
262144                 48.53
524288                 91.76
1048576               181.62
2097152               369.82
4194304              2599.71
  Loading openmpi/3.1.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.39
1                       0.45
2                       0.45
4                       0.61
8                       0.69
16                      0.81
32                      0.46
64                      0.47
128                     0.55
256                     0.59
512                     0.88
1024                    1.03
2048                    1.33
4096                    3.84
8192                    4.83
16384                   6.57
32768                   9.22
65536                  14.61
131072                 25.16
262144                 46.15
524288                 88.65
1048576               181.87
2097152               375.02
4194304              2594.43
  Loading openmpi/3.1.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.40
1                       0.45
2                       0.45
4                       0.65
8                       0.69
16                      0.81
32                      0.81
64                      0.83
128                     1.07
256                     1.31
512                     2.06
1024                    2.99
2048                    4.64
4096                    4.82
8192                    5.74
16384                   7.53
32768                  10.17
65536                  15.66
131072                 26.32
262144                 48.47
524288                 92.61
1048576               179.64
2097152               358.90
4194304              2573.72
  Loading openmpi/3.1.1 for compiler gnu-4.8.5
# OSU MPI Latency Test v5.6.2
# Size          Latency (us)
0                       0.40
1                       0.45
2                       0.45
4                       0.45
8                       0.45
16                      0.44
32                      0.44
64                      0.75
128                     1.04
256                     1.25
512                     1.87
1024                    2.74
2048                    4.24
4096                    4.72
8192                    5.65
16384                   7.43
32768                  10.21
65536                  15.89
131072                 26.69
262144                 48.31
524288                 91.97
1048576               181.80
2097152               368.97
4194304              2757.00
