  Loading openmpi/3.1.1 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.85
2                       9.94
4                      19.60
8                      39.30
16                     74.37
32                    149.41
64                    237.53
128                   355.36
256                   623.30
512                  1370.77
1024                 2427.32
2048                 4130.94
4096                 1503.55
8192                 2303.80
16384                3092.79
32768                4097.94
65536                4892.94
131072               5470.57
262144               5833.56
524288               6004.71
1048576              6001.97
2097152              5720.14
4194304              1596.12
  Loading openmpi/3.1.1 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.87
2                       9.92
4                      19.51
8                      38.97
16                     74.14
32                    148.89
64                    236.66
128                   366.96
256                   643.85
512                  1374.23
1024                 2449.64
2048                 4110.51
4096                 1550.59
8192                 2355.66
16384                3075.31
32768                4079.49
65536                4885.65
131072               5469.54
262144               5817.96
524288               5985.75
1048576              6078.98
2097152              5794.18
4194304              1610.55
  Loading openmpi/3.1.1 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.96
2                      10.18
4                      20.08
8                      40.28
16                     76.54
32                    153.98
64                    242.62
128                   362.54
256                   630.60
512                  1350.53
1024                 2422.04
2048                 4106.33
4096                 1268.33
8192                 2012.93
16384                2716.08
32768                4056.40
65536                4853.83
131072               5454.02
262144               5781.84
524288               5559.69
1048576              5923.88
2097152              5447.23
4194304              1618.08
  Loading openmpi/3.1.1 for compiler gnu-4.8.5
# OSU MPI Bandwidth Test v5.6.2
# Size      Bandwidth (MB/s)
1                       4.89
2                      10.03
4                      19.76
8                      39.76
16                     75.05
32                    150.87
64                    240.43
128                   371.05
256                   640.37
512                  1373.63
1024                 2454.90
2048                 4136.66
4096                 1299.47
8192                 2036.92
16384                2769.32
32768                3750.88
65536                4559.95
131072               5122.06
262144               5489.69
524288               5812.60
1048576              6025.68
2097152              5814.00
4194304              1613.67
